Shelter Name,Shelter Id,FEMA Declaration #,ARC DRO #,Incident #,Shelter Status,Shelter Agency Type,Shelter Address,City,County/Parish,State,Zip,Open Date,Close Date,Shelter Evacuation Capacity,Shelter Post Impact Capacity,Population Period,9/7/17,9/8/17,9/9/17
Robertsdale High School,26239,,42418,,Open,ARC Supported,21630 Hwy 59,ROBERTSDALE,BALDWIN,AL,36567,9/8/17 15:00,,2,0,,,,
Baldwin County Coliseum,68714,,41418,,Open,ARC Supported,19477 Fairground Road,ROBERTSDALE,BALDWIN,AL,36567,9/8/17 12:00,,1900,750,,,,
Dunn Oliver Acadome,158895,,41418,,Open,ARC Managed,915 South Jackson Drive,MONTGOMERY,MONTGOMERY,AL,36104,9/7/17 18:00,,1125,562,,,,
Santa Fe High School,17867,,41418,,Open,ARC Supported,16213 NW US HWY 441,ALACHUA,ALACHUA,FL,32615,9/8/17 4:00,,833,416,Noon,,0,
Alachua Elementary School,24433,,41418,,Open,Independent,13800 NW 152nd pl.,ALACHUA,ALACHUA,FL,32615,9/8/17 15:00,,294,147,Noon,,0,
Archer Elementary School,149989,,41418,,Stand-by/Alert,ARC Supported,14533 SW 170th Street,ARCHER,ALACHUA,FL,32618,,,301,150,Noon,,0,
Kanapaha Middle School,5496,,41418,,Open,ARC Supported,5005 SW 75th St.,GAINESVILLE,ALACHUA,FL,32608,9/8/17 17:00,,527,263,Noon,,0,
Westwood Middle School Special Needs,19305,,41418,,Stand-by/Alert,Independent,3215 NW 15th Ave.,GAINESVILLE,ALACHUA,FL,32605,9/8/17 15:00,,197,98,,,,
Buchholz High School,24434,,41418,,Open,Independent,5510 NW 27th AVE,GAINESVILLE,ALACHUA,FL,32606,9/8/17 16:00,,133,66,Noon,,0,
Rawlings Elementary School,70037,,41418,,Open,ARC Supported,3500 NE 15th St.,GAINESVILLE,ALACHUA,FL,32609,9/8/17 16:00,,196,96,Noon,,0,
Williams Elementary School,149987,,41418,,Open,ARC Supported,1245 SE 7th Ave,GAINESVILLE,ALACHUA,FL,32641,9/8/17 15:00,,234,117,,,,
Alachua County Senior Ctr - Sp Needs,161657,,41418,,Open,Independent,5701 NW 34th Blvd,GAINESVILLE,ALACHUA,FL,32653,9/8/17 15:00,9/8/17 15:00,100,50,,,,
Meadowbrook Elementary School,164817,,41418,,Open,Independent,11525 NW 39th Ave,GAINESVILLE,ALACHUA,FL,32606,9/8/17 15:00,,1584,1584,,,,
Shell Elementary School,138874,,41418,,Open,ARC Supported,21633 SE 65 Ave.,HAWTHORNE,ALACHUA,FL,32640-3518,9/8/17 3:00,,171,85,Noon,,0,
Easton Newbery Sports Complex,164818,,41418,,Open,Independent,24880 NW 16 Ave,NEWBERRY,ALACHUA,FL,32669,9/8/17 15:00,,300,150,,,,
Waldo Community School,149988,,41418,,Open,ARC Supported,14450 NE 148th Ave,WALDO,ALACHUA,FL,32694,9/8/17 15:00,,384,192,,,,
Ed Frasier Hospital Special Needs,148878,,41418,,Open,Independent,159 N 3rd St MacClenny,MACCLENNY,BAKER,FL,32063,9/8/17 16:00,,0,10,,,,
MADISON STREET BAPTIST CHURCH,5015,,41418,,Open,ARC Managed,900 W MADISON ST,STARKE,BRADFORD,FL,32091,9/9/17 8:00,,0,125,Noon,,,0
Port St. John Community Center,10999,,41418,,Open,ARC Partner,6650 CORTO RD,COCOA,BREVARD,FL,32927,9/8/17 15:00,,197,99,,,,
Walter Butler Community Center/Bernice G. Jackson Park,70041,,41418,,Open,ARC Managed,4201 N Cocoa Blvd,COCOA,BREVARD,FL,32927,9/8/17 15:00,,442,221,,,,
Space Coast Jr/sr High School,72682,,41418,,Open,Independent,6150 Banyon St,COCOA,BREVARD,FL,32927,9/8/17 15:00,,1000,0,,,,
MELBOURNE HIGH SCHOOL,10334,,41418,,Open,ARC Partner,74 BULLDOG BLVD,MELBOURNE,BREVARD,FL,32901,9/8/17 15:00,,1023,512,,,,
Manatee Elementary School,11013,,41418,,Open,Independent,3425 Viera BLVD,MELBOURNE,BREVARD,FL,32940,9/8/17 15:00,,1349,704,,,,
Sherwood Elementary School,15460,,41418,,Open,Independent,2541 POST RD,MELBOURNE,BREVARD,FL,32935,9/8/17 15:00,,1288,644,,,,
Viera Regional Park Community Center,72688,,41418,,Open,Independent,2300 Judge Fran Jamieson Way,MELBOURNE,BREVARD,FL,32940,9/8/17 15:00,,439,219,,,,
Quest Elementary Special Needs,136096,,41418,,Open,Independent,8751 Trafford Drive,MELBOURNE,BREVARD,FL,32940,9/9/17 2:00,,531,0,,,,
Wickham Park Community Center,158548,,41418,,Open,ARC Managed,2815 Leisure Way,MELBOURNE,BREVARD,FL,32935,9/8/17 22:00,,459,229,,,,
Kindred Hospital - Special Needs,161859,,41418,,Open,Independent,765 W Nasa Blvd,MELBOURNE,BREVARD,FL,32901,9/9/17 2:00,,100,50,,,,
Ralph Williams Elementary - Special Needs,161860,,41418,,Open,Independent,1700 CLUBHOUSE DRIVE,MELBOURNE,BREVARD,FL,32901,9/9/17 2:00,,100,50,,,,
Mims Elementary School,14994,,41418,,Open,ARC Managed,2582 US HWY 1,MIMS,BREVARD,FL,32754,9/8/17 15:00,,339,169,,,,
Bayside High School,4574,,41418,,Open,ARC Partner,1901 DEGROODT RD SW,PALM BAY,BREVARD,FL,32908,9/8/17 15:00,,2551,1276,,,,
Heritage High School,76051,,41418,,Open,ARC Managed,2351 Malabar Rd,PALM BAY,BREVARD,FL,32908,9/9/17 22:00,,794,397,,,,
Sunrise Elementary Special Needs,136097,,41418,,Open,Independent,1651 Mara Loma Blvd,PALM BAY,BREVARD,FL,32909,9/9/17 2:00,,366,0,,,,
Ted Whitlock Community Center/Palm Bay Regional Park,158545,,41418,,Open,Independent,1951 NW Malabar Rd,PALM BAY,BREVARD,FL,32907,9/8/17 15:00,,474,0,,,,
South Mainland Community Center,10319,,41418,,Open,ARC Partner,3700 ALLEN AVE,SEBASTIAN,BREVARD,FL,32976,9/8/17 15:00,,387,193,,,,
Apollo Elementary School,4606,,41418,,Open,ARC Partner,3085 KNOX MCRAE DR,TITUSVILLE,BREVARD,FL,32780,9/8/17 15:00,,739,369,,,,
Oak Park Elementary School Special Needs,4629,,41418,,Open,Independent,3395 DAIRY RD,TITUSVILLE,BREVARD,FL,32780,9/9/17 2:00,,486,0,,,,
Imperial Estates Elementary School,10990,,41418,,Open,ARC Partner,900 Imperial Estates Lane,TITUSVILLE,BREVARD,FL,32780,9/8/17 15:00,,575,287,,,,
Parrish Med Hospital - Special Needs,161862,,41418,,Open,Independent,951 N Washington St,TITUSVILLE,BREVARD,FL,32796,9/9/17 2:00,,100,50,,,,
Max K Rodes Park Community Center - Special Needs,141842,,41418,,Open,Independent,3410 Flanagan Avenue,W MELBOURNE,BREVARD,FL,32904,9/9/17 2:00,,50,208,,,,
Lyons Creek Middle School,22329,,41418,,Open,ARC Managed,4333 SOL PRESS BLVD,COCONUT CREEK,BROWARD,FL,33073,9/7/17 16:00,,998,0,Noon,62,64,
Parkside Elementary,164830,,41418,,Open,Independent,10257 NW 29th ST,CORAL SPRINGS,BROWARD,FL,33065,9/9/17 22:00,,300,300,,,,
Challenger Elementary School,14805,,41418,,Open,ARC Managed,5703 NW 94TH AVE,FORT LAUDERDALE,BROWARD,FL,33321,9/8/17 12:00,,395,0,Noon,226,487,
Falcon Cove Middle School,15327,,41418,,Open,ARC Managed,4251 BONAVENTURE BLVD,FORT LAUDERDALE,BROWARD,FL,33332,9/7/17 16:00,,998,0,Noon,30,30,
Fox Trail Elementary School,15483,,41418,,Open,ARC Managed,1250 S NOB HILL RD,FORT LAUDERDALE,BROWARD,FL,33324,9/7/17 16:00,,1259,0,Noon,178,,
Everglades  Elementary School,19371,,41418,,Open,ARC Managed,2900 BONAVENTURE BLVD,FORT LAUDERDALE,BROWARD,FL,33331,9/8/17 9:00,,1214,0,Noon,,120,
Silver Trail MS,19388,,41418,,Open,ARC Managed,18300 SHERIDAN ST,FORT LAUDERDALE,BROWARD,FL,33331,9/8/17 22:00,,925,0,,,,
